Eng,Rus
Port,"['порт', 'port', 'портвейн', 'портовых', 'порта', 'порту', 'портов', 'портовые', 'портовая', 'портового', 'портвейна', 'портвейну', 'портвейном']"
Glass,"['стекло', 'стакан', 'бокал', 'стеклянный', 'гласс', 'стекольный', 'стеклянные', 'стекольной', 'стекла', 'стеклянная', 'стеклянной', 'стеклом', 'стекле', 'стаканом', 'бокалом', 'стакане', 'стакана', 'бокале', 'бокала', 'стекольная', 'гласса', 'стекольного', 'глассом']"
Listen,"['слушать', 'прислушиваться', 'услышать', 'выслушивать', 'прослушивать', 'прослушивание', 'слушай', 'прослушать', 'выслушай', 'слушайте', 'слушаю', 'выслушать', 'прислушаться', 'прислушайтесь', 'выслушайте', 'прислушайся', 'прослушивания', 'прослушайте', 'услышь', 'прослушивают', 'прослушивании', 'услышьте', 'услышит']"
Depends,"['зависит', 'в зависимости', 'смотря', 'зависят', 'зависеть', 'зависящая', 'в зависимость']"
Buy,"['купить', 'покупать', 'покупка', 'бай', 'приобретать', 'закупать', 'выкупать', 'скупать', 'приобрести', 'угостить', 'закупают', 'выкупить', 'скупают', 'купите', 'покупают', 'купи', 'покупаете', 'покупайте', 'куплю', 'покупки', 'покупку', 'приобретайте', 'приобретают', 'покупке', 'угощу', 'закупить', 'закупаем', 'угости', 'скупить', 'угостите', 'выкупи', 'выкупим', 'скупаем']"
Records,"['отчеты', 'записи', 'records', 'документации', 'рекорды', 'учет', 'архивов', 'записывает', 'пластинки', 'регистрирует', 'регистрации', 'досье', 'фиксирует', 'учетные документы', 'учетные данные']"
Half,"['половина', 'наполовину', 'вдвое', 'полугодие', 'вполовину', 'пополам', 'половинка', 'полгода', 'половинный', 'половинку', 'половинной', 'половину', 'половины', 'половине', 'половинки', 'полугодии', 'полугода', 'половинкой', 'полугодия', 'половинную', 'половинная']"
Consultative,"['консультативный', 'совещательный', 'консультационный', 'консультативного', 'консультаций', 'консультационных', 'консультативной', 'консультативных', 'консультационного', 'консультационные', 'консультации', 'совещательного', 'совещательным', 'совещательную', 'консультациях', 'консультациям']"
Decision-making,"['принятия решений', 'процессе принятия решений', 'директивных', 'принятии решений', 'принятие решений', 'процесс принятия решений', 'принятию решений', 'процесса принятия решений', 'процессах принятия решений', 'директивные', 'директивным', 'директивного']"
Meet,"['отвечать', 'удовлетворять', 'соответствовать', 'познакомиться', 'собираться', 'проводить', 'заседать', 'соблюдать', 'покрывать', 'встретиться', 'выполнить', 'удовлетворения', 'проводить заседания', 'знакомства', 'пересекаются']"
Manager,"['менеджер', 'manager', 'руководитель', 'диспетчер', 'управляющий', 'тренер', 'администратор', 'заведующий', 'менеджера', 'менеджером', 'руководителя', 'диспетчера', 'управляющего', 'менеджеру', 'руководителем', 'управляющим', 'диспетчере', 'руководителю', 'управляющему', 'тренером', 'тренера', 'диспетчером', 'администратора', 'администратором', 'заведующего', 'заведующим', 'администратору', 'тренеру', 'заведующему']"
Campaign,"['кампания', 'поход', 'акция', 'предвыборный', 'кампании', 'акции', 'предвыборные', 'агитационных', 'кампанию', 'кампанией', 'акцию', 'походе', 'похода', 'агитационные', 'предвыборных', 'предвыборного', 'походу', 'акцией', 'агитационной']"
Marriage,"['брак', 'брачный', 'женитьба', 'свадьба', 'замужество', 'супружество', 'бракосочетание', 'свадьбы', 'замужества', 'бракосочетания', 'брака', 'браке', 'браки', 'брачного', 'брачных', 'брачные', 'свадьбу', 'свадьбе', 'женитьбы', 'замужестве', 'женитьбе', 'женитьбу', 'замужеством', 'супружества', 'бракосочетанием', 'супружестве', 'бракосочетании', 'супружеству']"
Eyes,"['глаза', 'очи', 'взгляд', 'глазки', 'взор', 'слежу', 'глазах', 'глаз', 'глазами', 'очах', 'очей', 'взгляды', 'глазками', 'взоры', 'взглядом', 'очами', 'взором', 'взгляда', 'глазков', 'взору', 'следим', 'следи', 'глазок', 'следить']"
Testing,"['тестировать', 'опробование', 'апробирование', 'отработка', 'тестирования', 'испытания', 'проверки', 'испытательных', 'тесты', 'тестовых', 'апробации']"
Rates,"['ставки', 'показатели', 'темпы', 'тарифы', 'уровень', 'коэффициенты', 'расценки', 'курсов', 'скорости', 'доля', 'частота']"
Commitments,"['обязательства', 'приверженность', 'обещания', 'обязательств', 'обязательствами', 'обязательствам', 'приверженности', 'обещаний', 'приверженностью', 'обещаниями', 'приверженностей', 'обещание']"
Figure,"['рис', 'рисунок', 'фигура', 'цифра', 'показатель', 'деятель', 'иллюстрация', 'данные', 'фигурка', 'диаграмму', 'понять', 'подумал', 'фигурируют']"
Finland,"['финляндия', 'финский', 'финляндии', 'финляндию', 'финляндией', 'финском', 'финских', 'финского']"
Confirmed,"['подтвердил', 'утвержден', 'подтверждению', 'подтверженного', 'подтвердили', 'подтверждено', 'подтвердила', 'утвердил', 'утвердила', 'утверждены', 'подтверждение', 'подтверждения', 'подтверждением', 'подтверженные', 'подтверженный', 'подтверженных']"
Successfully,"['успешно', 'удачно', 'благополучно', 'успешного', 'с успехом', 'удалось', 'успешное', 'успешной', 'успешном', 'успешнее', 'удается', 'удастся', 'удавалось', 'успешней']"
Satellite,"['спутник', 'сателлит', 'спутниковой', 'сателлитных', 'спутниковое', 'спутниковых', 'спутниковые', 'спутника', 'спутников', 'спутником', 'сателлитов', 'сателлитное', 'сателлита', 'сателлитные', 'сателлиты', 'сателлитной']"
Jurisdiction,"['юрисдикция', 'подсудность', 'компетенция', 'юрисдикции', 'компетенции', 'юрисдикцию', 'юрисдикцией', 'компетенцию', 'подсудности', 'компетенцией', 'подсудностью']"
Consensus,"['консенсус', 'единодушие', 'консенсуса', 'консенсусного', 'единодушное', 'консенсусом', 'консенсусе', 'консенсусной', 'консенсусных', 'консенсусное', 'единодушия', 'единодушны', 'единодушную', 'единодушного']"
Radio,"['радио', 'radio', 'радиоприемник', 'радиослужба', 'радиостанции', 'радиосвязи', 'радиовещания', 'рации', 'радиопередач', 'радиопрограмм', 'радиовещательных']"
Let's,"['давайте', 'пойдем', 'посмотрим', 'давай', 'пошли', 'дай', 'дайте', 'пойдемте', 'посмотри']"
Leadership,"['лидерство', 'руководством', 'руководящих', 'лидерских', 'руководителей', 'лидеров', 'ведущую роль', 'руководящая роль', 'лидирующую роль', 'лидирующую', 'предводительством']"
Interested,"['заинтересованных', 'интересуется', 'интересно', 'заинтересовался', 'проявляющих интерес', 'заинтересованность', 'желающих', 'заинтересованными', 'заинтересованные', 'заинтересованным', 'интересующихся', 'интересоваться', 'интересующиеся', 'заинтересовались', 'заинтересовалась', 'проявляющими интерес', 'проявляют интерес', 'желающие', 'проявляет интерес', 'заинтересованности', 'заинтересовавшихся', 'желающим', 'заинтересованностью', 'интереснее', 'желающий']"
Map,"['карта', 'map', 'отображение', 'план', 'картографический', 'картирование', 'картографических', 'картирования', 'карту', 'карте', 'карты', 'отображения', 'картографической', 'картированию', 'картографические', 'отображением', 'картировании', 'плане', 'планом', 'плана', 'отображению']"
Obligation,"['обязательство', 'обязанность', 'обязаны', 'обязательства', 'обязательств', 'обязательством', 'обязанности', 'обязанностью', 'обязанностей', 'обязано', 'обязан', 'обязана']"
Package,"['пакет', 'упаковка', 'комплекс', 'комплект', 'посылка', 'посылку', 'пакетное', 'пакета', 'упаковке', 'упаковки', 'пакете', 'пакетом', 'упаковку', 'комплекса', 'комплексе', 'комплекте', 'комплекта', 'посылки', 'пакетного', 'пакетные', 'пакетных', 'посылке', 'комплексу', 'комплектом']"
Latvia,"['латвия', 'латвийский', 'латвии', 'латвийской', 'латвию', 'латвией', 'латвийского', 'латвийская']"
Examples,"['примеры', 'образцы', 'примеров', 'примерами', 'примерах', 'образцов', 'образцами', 'образца']"
Rwanda,"['руанда', 'руанде', 'руандийских', 'руанды', 'руанду', 'руандийской', 'руандийского', 'руандийские']"
Undertaken,"['проведенных', 'предпринятые', 'осуществляемой', 'принятых', 'проделанной', 'проведение', 'взятых', 'предпринимаемые', 'осуществляемых', 'предпринятых', 'предпринимаемых', 'проводимой', 'проводимых', 'проведенной', 'проделанную', 'осуществляемые', 'принятые', 'осуществленных', 'принимаемых', 'приняты', 'проделанная', 'проведения', 'проделана', 'взятые', 'проведению', 'взятыми', 'проведении', 'взяты']"
Consent,"['согласие', 'согласия', 'соглашаетесь', 'согласии', 'согласию', 'согласиться', 'согласился', 'соглашаются']"
Automatic,"['автомат', 'автоматического', 'автоматизированной', 'автоматическое', 'автоматическая', 'автоматической', 'автоматизированных', 'автоматизированные', 'автоматизированная', 'автоматом', 'автоматов', 'автоматы']"
Considers,"['считает', 'рассматривает', 'полагает', 'сочтет', 'по мнению', 'учитывает', 'рассмотрении', 'расценивает', 'рассмотрены', 'считают', 'рассматривать', 'рассмотрена', 'считающее', 'рассмотрения', 'считая', 'рассмотрение', 'счел', 'полагают', 'сочла', 'учитывают', 'учесть', 'сочло', 'учтены', 'рассмотрению', 'полагающее', 'полагая', 'расценивают']"
Secret,"['секрет', 'секретный', 'secret', 'потайной', 'тайно', 'тайного', 'тайну', 'сокровенное', 'скрывает', 'засекреченных']"
Kind,"['вид', 'своеобразный', 'вроде как', 'разновидность', 'любезно', 'что-то вроде', 'мило', 'добрые', 'рода', 'типа', 'натурой', 'теплые', 'любезные', 'натуральной форме', 'подобных']"
Wishes,"['хотела бы', 'пожелания', 'желает', 'намерена', 'хотелось бы', 'чаяния', 'хотел бы', 'хотело бы', 'пожеланиями', 'пожеланий', 'пожеланиям', 'хотели бы', 'намерен', 'желающий', 'желают', 'желающее', 'намерено', 'чаяниям', 'чаяний', 'чаяниями', 'намерены']"
Survey,"['обследование', 'опрос', 'обзор', 'исследование', 'съемка', 'анкетирование', 'анкета', 'съемки', 'съемочных', 'анкеты', 'изысканий', 'обследования', 'обследований', 'опроса', 'обзора', 'обследовании', 'исследования', 'обзоре', 'опросе', 'опросов', 'обзору', 'исследовании', 'исследований', 'съемку', 'съемке', 'изыскания', 'анкетирования', 'анкету', 'съемочные', 'анкетировании', 'съемочного', 'съемочным', 'анкете', 'изысканиям']"
Exercise,"['осуществление', 'осуществлять', 'упражнение', 'мероприятие', 'проявлять', 'реализовывать', 'учения', 'тренировки', 'занятия', 'тренируетесь']"
Employees,"['сотрудников', 'работников', 'служащих', 'трудящихся', 'работающих', 'работницы', 'сотрудниц', 'сотрудники', 'работники', 'сотрудникам', 'сотрудниками', 'работникам', 'работниками', 'служащие', 'служащим', 'служащими', 'трудящиеся', 'работающие', 'трудящимся', 'работают', 'работающим', 'трудящимися', 'работниц', 'сотрудницы', 'работницам', 'работницами', 'сотрудницам']"
Contracting,"['договаривающихся', 'заключения контрактов', 'контрактов', 'заражения', 'подряд', 'договора', 'договаривающиеся', 'договаривающимися', 'договаривающейся', 'заключение контрактов', 'контракты', 'заключения контракта', 'контракта', 'подряда', 'контрактам', 'заключении контрактов', 'подрядов', 'подряды', 'заражение', 'договор', 'договоров', 'договоры', 'заражению']"
Professor,"['профессор', 'преподаватель', 'проф', 'доцент', 'профессора', 'профессором', 'профессору', 'преподавателем', 'преподавателя', 'доцента', 'доцентом', 'преподавателю', 'доценты']"
Across,"['через', 'по', 'между', 'на', 'по всей', 'во всех', 'на всей территории', 'по всему', 'во всей', 'по всем', 'во всем', 'во все']"
Watch,"['часы', 'смотреть', 'watch', 'наблюдать', 'дозор', 'уотч', 'часовой', 'осторожно', 'просмотр', 'приглядывать', 'следи', 'присмотри', 'вахты', 'просмотреть', 'бодрствуйте']"
Perhaps,"['возможно', 'вероятно', 'наверное', 'видимо', 'быть', 'по-видимому', 'может', 'могут', 'могли', 'было', 'мог', 'будет', 'есть']"
Contribute,"['способствовать', 'содействовать', 'содействие', 'вносить вклад', 'вносить', 'усугублять', 'внести вклад', 'внести', 'усугубляют', 'способствуют', 'содействуют', 'способствует', 'способствующих', 'содействия', 'вносят вклад', 'вносят', 'содействует', 'содействовали', 'содействию', 'вносит вклад', 'содействии', 'вносит', 'усугубляет', 'усугубить']"
Assistant,"['помощник', 'ассистент', 'помощница', 'младший', 'сотрудник', 'должность помощника по вопросам', 'помощника по вопросам категории', 'помощника', 'помощником', 'помощнику', 'ассистентом', 'ассистента', 'младшего', 'помощницей', 'ассистентов', 'помощницу', 'младших', 'помощницы', 'сотрудника', 'сотрудником', 'младшим', 'помощник по вопросам категория', 'помощник по вопросам категории', 'помощник по вопросам должность', 'помощника по вопросам категория', 'должности помощников по вопросам', 'должности помощника по вопросам']"
Timely,"['вовремя', 'оперативно', 'своевременного', 'своевременное', 'своевременной', 'своевременную']"
Round,"['круглый', 'раунд', 'тур', 'круг', 'цикл', 'раунда', 'цикла', 'круглые', 'круглого', 'круглых', 'раунде', 'тура', 'цикле', 'раунду', 'туре', 'круге', 'круга', 'циклу', 'туру', 'кругу']"
Thousand,"['тыс', 'тысяча', 'тысяч', 'тысячи', 'тысячу']"
Aid,"['помощь', 'эйд', 'помощи', 'помощью', 'ПОМОЩЬ']"
Ideas,"['идеи', 'представления', 'мысли', 'задумки', 'понятия', 'замыслы', 'идей', 'идеями', 'идеях', 'представлений', 'представление', 'мыслями', 'мыслей', 'представлениями', 'замыслов', 'мысль', 'задумок', 'понятий', 'понятиями', 'замыслами', 'задумку', 'понятиях']"
Kosovo,"['косово', 'ким', 'косовских', 'косовской', 'косовские', 'косовского', 'косове']"
Immediate,"['незамедлительно', 'безотлагательно', 'немедленного', 'непосредственной', 'незамедлительные', 'ближайших', 'безотлагательные', 'неотложных', 'срочные', 'насущных', 'мгновенное', 'моментальное', 'сиюминутных']"
Regime,"['режим', 'режима', 'режимом', 'режиме']"
Closed,"['закрыт', 'завершенных', 'замкнутой', 'закрытия', 'перекрыт', 'закрыты', 'закрыта', 'закрыто', 'замкнутых', 'замкнутый', 'закрытие', 'замкнутого', 'завершенным', 'завершенные', 'завершил', 'закрытии', 'закрытию', 'перекрыта', 'перекрыты', 'перекрыли']"
Stay,"['сидеть', 'побыть', 'пребывать', 'пожить', 'приостановление', 'мораторий', 'остаться', 'пребывания', 'держись', 'проживания', 'остановиться', 'отдыха', 'нахождения', 'задержаться', 'отсрочку']"
Improvement,"['улучшение', 'совершенствование', 'повышение', 'благоустройство', 'оздоровление', 'совершенствовать', 'обустройство', 'модернизации', 'улучшить', 'доработки']"
Argentina,"['аргентина', 'аргентинский', 'аргентинские', 'аргентины', 'аргентине', 'аргентиной', 'аргентинской', 'аргентинского']"
Changing,"['изменения', 'меняющихся', 'смены', 'замена', 'перемен', 'переход', 'пеленальный', 'сменить', 'изменчивой', 'изменение', 'изменении', 'меняющейся', 'меняющиеся', 'изменением', 'меняющемся', 'смене', 'смена', 'замены', 'замене', 'смену', 'заменой', 'перемены', 'перехода', 'сменив', 'переходе', 'перемена', 'пеленальная', 'изменчивых', 'изменчивый', 'переменам', 'пеленальные', 'сменил', 'переходом', 'сменим', 'изменчивые', 'пеленального']"
Keep,"['держать', 'продолжать', 'хранить', 'поддерживать', 'постоянно', 'вести', 'соблюдать', 'следить', 'придерживаться', 'скрывать', 'сохранение', 'сохранить', 'оставить', 'удержать', 'сдержать', 'берегите', 'не спускай']"
Recovery,"['recovery', 'выздоровление', 'взыскание', 'оживление', 'восстановления', 'возвращению', 'возмещения', 'рекуперации', 'подъема', 'реабилитации', 'оздоровления', 'извлечения', 'восстановительных', 'возрождения', 'возврата', 'регенерации', 'утилизации', 'оздоровительные']"
Com,['com']
Bar,"['бар', 'bar', 'штрих', 'батончик', 'полоса', 'стержень', 'слиток', 'брусок', 'адвокатов', 'панели', 'строке', 'планку', 'барной', 'юристов', 'стойкой', 'штангу', 'штрихового', 'прутка', 'перекладине']"
Pacific,"['pacific', 'тихоокеанский', 'пасифик', 'тихий океан', 'тихоокеанских', 'тихого океана', 'части тихого', 'тихоокеанского', 'тихоокеанском', 'тихом океане', 'тихому океану', 'частях тихого', 'часть тихого', 'пасифика', 'частью тихого']"
Acting,"['исполняющий обязанности', 'действуя', 'выступая', 'актерскую', 'действия', 'вести', 'исполняющего обязанности', 'действующих', 'исполняющим обязанности', 'действующей', 'действовать', 'исполняющая обязанности', 'выступающей', 'выступающая', 'выступающих', 'актерской', 'действий', 'актерские', 'актерский', 'действие', 'действиям', 'ведет', 'ведут', 'вел']"
Sorry,"['жаль', 'жалко', 'стыдно', 'жалость', 'прости', 'извини', 'сожалею', 'прошу прощения', 'извинения', 'сочувствую']"
Transparent,"['прозрачный', 'транспарентность', 'прозрачность', 'транспарентной', 'транспарентности', 'прозрачности', 'гласных', 'транспарентных', 'транспарентным', 'транспарентного', 'прозрачной', 'прозрачные', 'прозрачным', 'гласного', 'гласным', 'транспарентностью', 'гласной', 'прозрачностью']"
Identification,"['выявление', 'определение', 'идентификационный', 'установление', 'идентифицировать', 'отождествление', 'опознавательный', 'идентификации', 'удостоверений личности', 'удостоверяющих личность', 'установления личности', 'опознания']"
Speaking,"['выступая', 'говоря', 'кстати', 'выступления', 'разговаривать', 'разговор', 'говорения', 'рассказывая', 'речи', 'сказать', 'высказываясь']"
Fine,"['штраф', 'хорошо', 'прекрасный', 'отлично', 'нормально', 'замечательно', 'файн', 'оштрафовать', 'в порядке', 'тонкой', 'изобразительных', 'мелкие', 'изящных', 'изысканные', 'тонкодисперсных', 'мелкодисперсных']"
Though,"['хотя', 'несмотря на то', 'однако']"
Morning,"['утро', 'утренний', 'день', 'сегодня', 'морнинг', 'утром', 'утренние', 'первой половине дня', 'первой', 'доброе', 'утра', 'утрам', 'утренняя', 'утреннего', 'первая половина дня', 'первую половину дня', 'дня', 'первая', 'первой половины дня', 'первую', 'днем']"
Lot,"['много', 'очень', 'лот', 'гораздо', 'множество', 'куча', 'участь', 'большое', 'массу', 'жребию', 'о многом', 'во многом']"
Developments,"['события', 'изменения', 'развития', 'разработки', 'тенденции', 'области', 'сдвиги', 'веяния', 'наработки', 'эволюции', 'подвижки', 'застройки']"
Cash,"['деньги', 'cash', 'кассовый', 'денежных', 'наличные', 'наличности', 'кэш', 'наличку', 'средств', 'товарных', 'наличных денежных средств', 'обналичить', 'кассы']"
Introduced,"['представил', 'введена', 'внес', 'внедрена', 'познакомил', 'ознакомлены', 'введение', 'интродуцированных', 'внедрение', 'завезен']"
Conclusion,"['заключение', 'вывод', 'завершение', 'завершения', 'заключения', 'выводу', 'заключению', 'заключении', 'завершении', 'вывода', 'завершению', 'выводы']"
Courses,"['курсы', 'учебных курсов', 'занятия', 'блюда', 'курсах', 'курсов', 'занятий', 'блюд', 'учебных курса', 'занятиях', 'учебный курс', 'блюдами', 'учебными курсами', 'блюдам']"
Spanish,"['испанский', 'исп', 'по-испански', 'испания', 'испанец', 'испании', 'испанцы', 'испанском', 'испанского', 'испанской', 'испанцев', 'испанцами', 'испанией', 'по испански', 'испанию']"
Stable,"['стабильный', 'конюшня', 'стабильность', 'стабильной', 'устойчивой', 'стабильности', 'стабилизированный', 'стабильного', 'стабильным', 'устойчивого', 'устойчивое', 'устойчивую', 'конюшне', 'стабильностью', 'конюшни', 'стабилизированное', 'конюшню', 'стабилизированная', 'стабилизированной']"
Guarantee,"['гарантировать', 'гарантия', 'обеспечение', 'залог', 'гарантийный', 'гарантирование', 'обеспечивать', 'поручительство', 'обеспечения', 'гарантийного', 'гарантирования', 'обеспечить', 'гарантии', 'гарантируют', 'гарантией', 'гарантируем', 'гарантию', 'гарантирует', 'обеспечению', 'гарантийной', 'обеспечивают', 'гарантийная', 'залогом', 'гарантированию', 'обеспечивает', 'гарантировании', 'обеспечении', 'поручительства', 'залога']"
Jerusalem,"['иерусалим', 'иерусалимский', 'джерузалем', 'иерусалиме', 'иерусалима', 'иерусалимом', 'иерусалимского', 'иерусалимской', 'иерусалимском']"
Husband,"['муж', 'супруг', 'муженек', 'мужа', 'мужем', 'мужу', 'супругом', 'супруга', 'супругов', 'муженька', 'муженьку']"
Appointed,"['назначен', 'назначение', 'назначил', 'назначенных', 'назначены', 'назначения', 'назначению', 'назначении']"
Territories,"['территорий', 'территориях', 'территории', 'территориям']"
Damaged,"['повреждена', 'его повреждение', 'разрушенных', 'нанесен ущерб', 'пострадавших', 'причинен ущерб', 'испорченные', 'поврежденных', 'повреждены', 'поврежденные', 'разрушены', 'пострадавшей', 'разрушен', 'пострадали', 'наносит ущерб', 'нанесли ущерб', 'пострадала', 'разрушенной', 'испорченных', 'причинили ущерб', 'нанес ущерб', 'испорченную', 'испорченными', 'причиняет ущерб', 'причинил ущерб']"
Perfect,"['идеальный', 'совершенный', 'perfect', 'безупречный', 'превосходный', 'совершенствовать', 'замечательно', 'великолепно', 'прекрасным', 'отличное', 'идеально подходит', 'совершенства', 'прекрасно подходит', 'отлично подойдет']"
Heavy,"['сильный', 'хэви', 'плотный', 'хеви', 'тяжесть', 'тяжелых', 'большие', 'тяжкое', 'интенсивного', 'тяжеловесных', 'большегрузных', 'обильных', 'ожесточенные', 'суровые', 'крупнокалиберных']"
Middle,"['ближний', 'средний', 'середина', 'разгар', 'посередине', 'центр', 'срединный', 'ближнем', 'среднего', 'середине', 'центре', 'мидл', 'срединного', 'средине', 'ближнего', 'ближнему', 'средней', 'средние', 'середины', 'середину', 'центру', 'разгаре', 'срединной', 'центра', 'средины', 'срединная', 'средина']"
Substances,"['веществ', 'субстанций', 'вещества', 'веществам', 'веществами', 'субстанции', 'субстанциями', 'субстанция']"
Officer,"['сотрудник', 'офицер', 'полицейский', 'служащий', 'чиновник', 'офицерский', 'должностное лицо', 'офицерского', 'вопросам', 'сотрудника', 'офицера', 'сотрудников', 'офицером', 'сотрудником', 'офицеру', 'должностного лица', 'должностным лицом', 'должностному лицу', 'полицейского', 'офицерских', 'офицерской', 'служащего', 'чиновником', 'служащим', 'полицейским', 'полицейскому', 'чиновника', 'служащих', 'чиновнику', 'вопросы', 'вопросами', 'вопросов']"
Manufacturer,"['производитель', 'изготовитель', 'пзготовителей', 'производителя', 'изготовителя', 'производителем', 'изготовителем', 'производителей', 'изготовителю']"
Considerable,"['значительный', 'существенный', 'большой', 'немалый', 'значительные', 'большое', 'серьезные', 'немалые', 'значительное', 'значительного', 'существенные', 'существенное', 'существенного', 'большие', 'большим', 'серьезную', 'серьезное', 'немалое', 'немалую', 'серьезных']"
