Eng-Rus_word_pairs
Which it was.,А так оно и было.
Which is not cool.,Но это не круто.
Which is what exactly?,Кстати какой именно?
Which guy?,Какому парню?
Which tool should I use to whisk egg white or cream?,Какую насадку следует использовать для взбивания белков или сливок?
Which does the sea god prefer?,А что предпочитают морские Боги?
Impeachment against Clarendon and its significance for political life of the Age of Restoration.,ИМПИЧМЕНТ ПРОТИВ КЛАРЕНДОНА И ЕГО ЗНАЧЕНИЕ ДЛЯ ПОЛИТИЧЕСКОЙ ЖИЗНИ АНГЛИИ ПЕРИОДА РЕСТАВРАЦИИ.
The situation in Afghanistan and its implications for international peace and security continued.,ПОЛОЖЕНИЕ В АФГАНИСТАНЕ И ЕГО ПОСЛЕДСТВИЯ ДЛЯ МЕЖДУНАРОДНОГО МИРА И БЕЗОПАСНОСТИ продолжение.
Matters arising from recent meetings of the Executive Body and its subsidiary bodies.,ВОПРОСЫ ВОЗНИКАЮЩИЕ В СВЯЗИ С НЕДАВНИМИ СОВЕЩАНИЯМИ ИСПОЛНИТЕЛЬНОГО ОРГАНА И ЕГО ВСПОМОГАТЕЛЬНЫХ ОРГАНОВ.
Compliance by Lithuania with its obligations under the Convention.,СОБЛЮДЕНИЕ ЛИТВОЙ СВОИХ ОБЯЗАТЕЛЬСТВ ПО КОНВЕНЦИИ.
Compliance by Denmark with its obligations under the Convention.,СОБЛЮДЕНИЕ ДАНИЕЙ СВОИХ ОБЯЗАТЕЛЬСТВ ПО КОНВЕНЦИИ.
Compliance by Lithuania with its obligations under the Convention.,СОБЛЮДЕНИЕ ЛИТВОЙ СВОИХ ОБЯЗАТЕЛЬСТВ В СООТВЕТСТВИИ С ПРОТОКОЛОМ.
Silver Surfer is primarily known for its strong difficulty and highly praised music.,Silver Surfer в первую очередь известен своею высокою сложностью и высоко оцененной музыкой.
The Church is remarkable with its five-century history and the sacred objects that are kept in it.,Храм замечателен своею пятивековою историей и хранящимися в нем святынями.
By the opportunity to do everything on its own without God by its own hand.,Возможностью все сделать самостоятельно без Бога своею собственной рукой.
The wild beast joined in friendship with its prey;,Дикий зверь объединялся в дружбе со своею добычей;
Apple's Reporting its Growing Earnings for the Past Quarter.,Apple сообщила о своих растущих доходах за последний квартал.
Its interpretation shall form part of the award para. 2.,Это толкование является составной частью арбитражного решения пункт 2.
And its guiding groove using a cotton cloth moistened with cooking oil.,Вайте плитку и направляющий желобок на ней при помощи хлопчатобумажной ткани смоченной растительным маслом.
UNMIT will also continue its support to local governance and decentralization efforts.,ИМООНТ будет и далее оказывать поддержку усилиям в области государственного управления на местном уровне и децентрализации.
Its nucleotide sequence is too perfect.,Эта последовательность нуклеотида слишком совершенна.
From its establishing Fabrika Maziva has always been reputable for its commitment to product quality.,С момента основания фабрика смазочных была и остается известна своей приверженностью к качеству продукции.
Its accommodation is particularly suitable for corporate workers.,Здешнее жилье является особенно подходящим для корпоративных сотрудников.
Recalling all its previous relevant resolutions concerning the conflicts in the former Yugoslavia and relevant statements of its President including resolutions 1031( 1995) of 15 December 1995 1088( 1996) of 12 December 1996 1423( 2002) of 12 July 2002 1491( 2003) of 11 July 2003 1551( 2004) of 9 July 2004 1575( 2004) of 22 November 2004 1639( 2005) of 21 November 2005 1722( 2006) of 21 November 2006 1764( 2007) of 29 June 2007 1785( 2007) of 21 November 2007 1845( 2008) of 20 November 2008 and 1869( 2009) of 25 March 2009.,Ссылаясь на все свои предыдущие соответствующие резолюции касающиеся конфликтов в бывшей Югославии и соответствующие заявления своего Председателя включая резолюции 1031( 1995) от 15 декабря 1995 года 1088( 1996) от 12 декабря 1996 года 1423( 2002) от 12 июля 2002 года 1491( 2003) от 11 июля 2003 года 1551( 2004) от 9 июля 2004 года 1575( 2004) от 22 ноября 2004 года 1639( 2005) от 21 ноября 2005 года 1722( 2006) от 21 ноября 2006 года 1764( 2007) от 29 июня 2007 года 1785( 2007) от 21 ноября 2007 года 1845( 2008) от 20 ноября 2008 года и 1869( 2009) от 25 марта 2009 года.
Each game in its very funny original and quite unusual.,Каждая игра по-своему очень веселая оригинальная и довольно необычная.
Its main specifications appear in annex 2.,Эти основные характеристики приведены в приложении 2.
Germany commended Senegal for its progress in eradicating FGM.,Германия отдала должное Сенегалу за достигнутый им прогресс в деле искоренения практики КОЖПО.
Its principles have also informed the Policy Statement and this strategy.,Эти принципы учитывались при разработке Программного заявления и настоящей стратегии.
Slovakia offered to share its transformation experiences in the areas prioritized by Tunisia.,Словакия предложила поделиться опытом осуществления преобразований в областях получивших приоритетное внимание со стороны Туниса.
Japan commended Tajikistan for its ratification status in relation to human rights treaties.,Япония дала высокую оценку усилиям Таджикистана по ратификации правозащитных договоров.
Its dangers are set in stone.,Эти опасности высечены в камне.
Furthermore its abolition is not required by international law.,Кроме того ее отмена не требуется в соответствии с международным правом.
III List of meetings of the Commission its subsidiary bodies and conventions.,III. Перечень сессий Комиссии совещаний вспомогательных органов.
Its ability to empty your bank account.,Это умение опустошать твой банковский счет.
Its pleasure is so unbearable that it becomes almost pain.,Это наслаждение настолько нестерпимо что оно становится почти болью.
Its sentence carried out.,И вынесен был приговор.
Dat was amazing!,Этo былo пoтрясающе!
I was stupid.,Я былa глyпa.
Now if you was to go gentle on them ease the pace a little.,Вот если ты будешь помягче немного ослабишь темп.
It was a weapon.,Этo былo opужиe.
I was so tall.,Я былa тaкoй выcoкoй.
It was just a fling.,Этo былo мимoлeтнoe yвлeчeниe.
It was amazing.,Этo былo пoтpясающе.
So that was a good time to talk to each other to make a good bike.,Былo пoдxoдящee вpeмя oбcудить вce вдвoeм и coздaть oтличный мoтoцикл.
My bike was a little bit difficult to control.,Moим мoтoциклoм былo нeмнoгo тяжeлo yпpaвлять.
I was hoping... you could... put your snow globes on it.,Я надеюсь... ты будешь... ставить на нее свои сувениры со снегом.
What was in the wallet?,Чтo былo в бyмaжникe?
That was in your questions.,Этo былo в твoиx вoпpocax.
That was really nice.,Этo былo oчeнь пpиятнo.
He was finding it increasingly difficult to conduct his research without unwanted distractions.,Ему становилось все труднее проводить свои исследования без нежелательных отвлекающих факторов.
GV was one of the first venture capital firms to employ the venture capital services model.,GV былa одной из первых венчурных компаний использовавших модель венчурных услуг.
In 1985 he was awarded the national honor For Excellent Work.,В 1985 году ему былa предоставлена награда За прекрасную работу.
Bluedata was founded in 1997 as a private co-educational licensed business school.,Bluedata былa основанa н лицензирована в 1997 как частная школа бизнеса совместного обучения.
"I was the only one energetically available for this evening."".","Я являюсь единственной всецело доступной этим вечером.""."
Its important task was to promote the development of production and trade.,Его важной задачей становилось содействие развитию производства и торговли.
They asked me if I was a member of Hamas or another organization.,Меня спросили являюсь ли я членом ХАМАС или какойлибо другой организации.
It was not in vain It was not for nothing.,Все на свете былo не зря. Не напраснo былo.
Well I was hoping you might available for Rachel's Simchat bat.,Ну я надеялась ты будешь свободен и придешь на Симхат Бат для Рейчел.
I would feel so much better if that someone was you.,И мне будет гораздо лучше если этим кем-то будешь ты.
You were a push over always was and always will be.,Ты был и всегда будешь слишком податливым.
The boys tell me there's no way she was here last night.,Ребята сказали что прошлой ночью она никак не могла здесь оказаться.
I tried to save her but it was too late.,Я пытaлcя cпacти eе нo былo слишкoм пoзднo.
I'm guessing you didn't tell her that the walk was with me.,Полагаю она не знает что гулять будешь со мной.
And when I start for the race the bike was impossible to ride.,A кoгдa я пpиcтупил к гoнкe нa мoтoциклe былo нeвoзмoжнo exaть.
With her life was fun.,С ней жизнь становилось веселей.
Single mother Karen Dobbs was shot yesterday in front of her two-year-old son.,Вчeрa нa глaзaх двухлeтнeго сынa былa зaстрeлeнa мaть- одиночкa.
The International cooperation in the sphere of culture within the framework of Shanghai Cooperation Organization.,МЕЖДУНАРОДНЫЙ ДИАЛОГ В ОБЛАСТИ КУЛЬТУРЫ НА ПРОСТРАНСТВЕ ШОС.
International and selected national initiatives to integrate gender considerations in transport.,МЕЖДУНАРОДНЫЕ И НЕКОТОРЫЕ НАЦИОНАЛЬНЫЕ ИНИЦИАТИВЫ НАЦЕЛЕННЫЕ НА ИНТЕГРАЦИЮ ГЕНДЕРНЫХ СООБРАЖЕНИЙ В СЕКТОРЕ ТРАНСПОРТА.
International environmental databases.,МЕЖДУНАРОДНЫЕ БАЗЫ ЭКОЛОГИЧЕСКИХ ДАННЫХ.
International and regional standards providing protection against racism racial discrimination.,МЕЖДУНАРОДНЫЕ И РЕГИОНАЛЬНЫЕ СТАНДАРТЫ В ОБЛАСТИ ЗАЩИТЫ ОТ РАСИЗМА РАСОВОЙ ДИСКРИМИНАЦИИ.
Protocol to the international covenant on civil.,К МЕЖДУНАРОДНОМУ ПАКТУ О ГРАЖДАНСКИХ И.
International Chamber of Commerce.,МЕЖДУНАРОДНУЮ ТОРГОВУЮ ПАЛАТУ.
International confederation of free trade unions icftu.,МЕЖДУНАРОДНУЮ КОНФЕДЕРАЦИЮ СВОБОДНЫХ ПРОФСОЮЗОВ.
Protocol to the international covenant on civil.,ПРОТОКОЛОМ К МЕЖДУНАРОДНОМУ ПАКТУ О ГРАЖДАНСКИХ И.
International Federation of Artists(FIA) St. Petersburg Russia 70 paintings.,Выставочный зал международной федерации художников Невский 60 Санкт-Петербург.
II. International initiatives in science and technology for small island developing States.,II. МЕЖДУНАРОДНЫЕ ИНИЦИАТИВЫ В ОБЛАСТИ НАУКИ И ТЕХНИКИ ДЛЯ МАЛЫХ.
I'm an international jewel thief who's facing a jail sentence.,Я мeждунарoдный пoхититeль драгoцeннoстeй и я гoтoва прeдстать пeрeд судoм.
Resolution No. 40 on International Certificate for Operators of Pleasure Craft.,РЕЗОЛЮЦИЯ № 40 О МЕЖДУНАРОДНОМ УДОСТОВЕРЕНИИ НА ПРАВО УПРАВЛЕНИЯ ПРОГУЛОЧНЫМ СУДНОМ.
Hotels near the International Exhibition Centre.,БЛИЖАЙШИЕ К МЕЖДУНАРОДНОМУ ВЫСТАВОЧНОМУ ЦЕНТРУ.
IV. international and regional initiatives on trafficking and migrant smuggling.,IV. МЕЖДУНАРОДНЫЕ И РЕГИОНАЛЬНЫЕ ИНИЦИАТИВЫ ПО БОРЬБЕ С ТОРГОВЛЕЙ ЛЮДЬМИ И НЕЗАКОННЫМ ВВОЗОМ МИГРАНТОВ.
International Covenant on Economic.,МЕЖДУНАРОДНЫМ ПАКТОМ ОБ ЭКОНОМИЕСКИХ.
International Science and Technical University named after Academician Yuri bull ISTU.,МЕЖДУНАРОДНЫЙ НАУЧНО-ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ имени академика Юрия Бугая МНТУ.
Recognized as international crimes.,ПРИЗНАННЫЕ МЕЖДУНАРОДНЫМ ПРЕСТУПЛЕНИЕМ.
Agenda item 96: international conference on population and development continued.,ПУНКТ 96 ПОВЕСТКИ ДНЯ: МЕЖДУНАРОДНАЯ КОНФЕРЕНЦИЯ ПО НАРОДОНАСЕЛЕНИЮ И РАЗВИТИЮ продолжение.
Draft optional protocol to the International Covenant on Economic Social and Cultural Rights.,ПРОЕКТ ФАКУЛЬТАТИВНОГО ПРОТОКОЛА К МЕЖДУНАРОДНОМУ ПАКТУ ОБ ЭКОНОМИЧЕСКИХ СОЦИАЛЬНЫХ И КУЛЬТУРНЫХ ПРАВАХ.
Access to the International TIR Data Bank ITDB.,ДОСТУП К МЕЖДУНАРОДНОМУ БАНКУ ДАННЫХ МДП МБДМДП.
Ii. implementation of the declaration on the right to development by the international organizations.,II. ОСУЩЕСТВЛЕНИЕ МЕЖДУНАРОДНЫМИ ОРГАНИЗАЦИЯМИ ДЕКЛАРАЦИИ О ПРАВЕ НА РАЗВИТИЕ.
Negotiations on an international code of conduct on the.,ПЕРЕГОВОРЫ ПО МЕЖДУНАРОДНОМУ КОДЕКСУ ПОВЕДЕНИЯ.
International organizations institutions and agencies.,МЕЖДУНАРОДНЫМИ ОРГАНИЗАЦИЯМИ УЧРЕЖДЕНИЯМИ И ОРГАНАМИ.
International relations and international law.,МЕЖДУНАРОДНЫЕ ОТНОШЕНИЯ И МЕЖДУНАРОДНОЕ ПРАВО.
Complementary international standards with regard to positive obligations of States parties.,ДОПОЛНИТЕЛЬНЫЕ МЕЖДУНАРОДНЫЕ СТАНДАРТЫ В ОТНОШЕНИИ ПОЗИТИВНЫХ ОБЯЗАТЕЛЬСТВ ГОСУДАРСТВ.
Are there other relevant InternatIonal agreements relatIng to physIcal securIty?,ЕСТЬ ЛИ ИНЫЕ ДЕЙСТВУЮЩИЕ МЕЖДУНАРОДНЫЕ СОГЛАШЕНИЯ ПО ВОПРОСАМ ФИЗИЧЕСКОЙ БЕЗОПАСНОСТИ?
International cooperation.,МЕЖДУНАРОДНОМУ СОТРУДНИЧЕСТВУ.
Of acts not prohibited by international law.,НЕ ЗАПРЕЩЕННЫХ МЕЖДУНАРОДНЫМ ПРАВОМ ПРЕДОТВРАЩЕНИЕ.
International institutions associated.,МЕЖДУНАРОДНЫМИ ОРГАНИЗАЦИЯМИ СВЯЗАННЫМИ.
International instrument.,МЕЖДУНАРОДНОМУ ДОКУМЕНТУ.
Not Neary?,Может Нири?
You didn't suffer that much!,Ты от этого нисколько не пострадал!
Not at all why?,Да нет почему?
He's not with us any longer.,Его больше нет с нами.
That's not a heart-warming thing to end on!,Это неподходящая фраза для концовки!
Not at all.,Вообще не хорошо.
I didn't lose a thing!,Я нисколько не похудела!
Not as dumb as you?,Неужели глупее тебя?
Not so bad yourself.,Ты тоже неплохо.
Not the slightest interest.,Ќи малейшего интереса.
Well of course you don't you're not the one who cleans it.,Ну конечно тебе плевать. Не тебе же его чистить.
Don't joke about it.,Не смей шутить об этом.
You can't be here they will kill you.,Ебе здесь нельз€ убьют.
He's not a little boy anymore.,Ќичего особенного. ѕросто расслабимс€ покайфуем.
That's not news.,Тоже мне новость.
Which is not you know not fair.,Это как-то... ну... непорядочно.
Not you two again!,Ви паки есеис!
Not him!,Забудь о нем!
Not just the range though.,Ме рнкэйн пюдхся онпюфемхъ.
That's not what it is.,Это совсем не то.
That is not a bad thing.,Это ведь не плохо.
Not that I can see.,Пока не видно.
I won't waste your time.,Не хочу зря тратить ваше время.
Not at all!,Да нет!
Not about everything.,Нет нет не во всем.
It can't be true!,О нет это невозможно!
I'm not asking this with a light heart.,Мне нелегко просить вас об этом.
Isn't it? Yes?,Весьма неплохо правда?
Weren't they?,Они отстой?
You're telling me this because...?,И ты мне об это рассказываешь потому что?
Do I have to tell you this?,Мне обязательно об это говорить?
We are told this at the end of chapter 21 of Revelation:.,Об это говорится в конце 21 главы Откровения:.
I'm probably going to regret this but.,Я возможно об это пожалею но.
Why are you telling me this now?,Почему ты говоришь мне об это сейчас?
Aim of this Paper.,ЦЕЛЬ НАСТОЯЩЕГО ДОКУМЕНТА.
The purpose of this paper.,ЦЕЛЬ НАСТОЯЩЕГО ДОКУМЕНТА.
Objective of this proposal.,ЦЕЛЬ НАСТОЯЩЕГО ПРЕДЛОЖЕНИЯ.
II. The objectives of this general comment.,II. ЦЕЛИ НАСТОЯЩЕГО ЗАМЕЧАНИЯ ОБЩЕГО ПОРЯДКА.
Purpose of this paper.,ЦЕЛЬ НАСТОЯЩЕГО ДОКУМЕНТА.
II. Objective of this preliminary and progress report.,II. ЦЕЛЬ НАСТОЯЩЕГО ПРЕДВАРИТЕЛЬНОГО И ПРОМЕЖУТОЧНОГО ДОКЛАДА.
Non-parties to this Agreement.,СТОРОНЫ НЕ ЯВЛЯЮЩИЕСЯ УЧАСТНИКАМИ НАСТОЯЩЕГО СОГЛАШЕНИЯ.
This seat unit is not suitable for children under 6 months.,ДАННОЕ ИЗДЕЛИЕ НЕ ПРЕДНАЗНАЧЕНО ДЛЯ ДЕТЕЙ МЛАДШЕ 6 МЕСЯЦЕВ.
This product is not suitable for running or skating.,ДАННОЕ ИЗДЕЛИЕ НЕ ПРЕДНАЗНАЧЕНО ДЛЯ БЕГА ИЛИ КАТАНИЯ НА РОЛИКАХ.
But the Goldstone report and this debate do not promote peace.,Однако доклад Голдстоуна и нынешние прения не содействуют делу обеспечения мира.
By using this site you signify your assent to these terms of use.,ИСПОЛЬЗУЯ ДАННЫЙ САЙТ ВЫ ВЫРАЖАЕТЕ СВОЕ СОГЛАСИЕ С НАСТОЯЩИМИ УСЛОВИЯМИ ИСПОЛЬЗОВАНИЯ.
This celebration of my name-day was one of the most pleasant.,Нынешние именины были для меня одними из самых приятных.
This debate in the General Assembly presents the opportunity to take these steps.,Нынешние прения в Генеральной Ассамблее представляют собой возможность для предпринятия таких шагов.
We really do hope that this negotiating process will bring about a step towards peace.,Мы искренне надеемся что нынешние переговоры станут шагом в направлении достижения мира.
See I kind of told this Zane That we used to be together.,Слушай я вроде сказала нынешнему Зейну что мы раньше встречались.
This Nomination of OCP has been submitted by.,КЕМ ПРЕДСТАВЛЕНО ДАННОЕ НАЗНАЧЕНИЕ ОКП.
This notification of has been submitted by.,НАСТОЯЩЕЕ УВЕДОМЛЕНИЕ ПРЕДСТАВЛЕНО.
Your use of this website is at your own risk.,ВЫ ИСПОЛЬЗУЕТЕ ДАННЫЙ САЙТ НА СВОЙ СТРАХ И РИСК.
This limitation of liability cannot be waived or amended by any person.,НАСТОЯЩЕЕ ОРГАНИЧЕНИЕ ОТВЕТСТВЕННОСТИ НЕ МОЖЕТ БЫТЬ ОТВЕРГНУТО ИЛИ ДОПОЛНЕНО НИ ОДНИМ ЛИЦОМ.
This Agreement.,НАСТОЯЩЕЕ СОГЛАШЕНИЕ.
The contents of this manual may be changed at any time without prior notice.,СОДЕРЖАНИЕ ДАННОГО РУКОВОДСТВА МОЖЕТ БЫТЬ ИЗМЕНЕНО В ЛЮБОЕ ВРЕМЯ БЕЗ ПРЕДВАРИТЕЛЬНОГО УВЕДОМЛЕНИЯ.
This limitation of relief is a part of the bargain between the parties.,ДАННОЕ ОСВОБОЖДЕНИЕ ОТ ОТВЕТСТВЕННОСТИ ЯВЛЯЕТСЯ НЕОТЪЕМЛИМОЙ ЧАСТЬЮ ДОГОВОРА МЕЖДУ СТОРОНАМИ.
This notification of has been submitted by.,НАСТОЯЩЕЕ УВЕДОМЛЕНИЕ БЫЛО ПРЕДСТАВЛЕНО.
Thanks to this training approach the child receives comprehensive development.,Благодаря подобному подходу в обучении ребенок получает разностороннее развитие.
Jennings doesn't mess around with this stuff.,Дженнингс не шутит с подобными вещами.
You will soon be 20 Alice.,Teбe пoчти двaдцaть Алиca.
Do You Have To Stand Before Your God?,ПРИДЕТСЯ ЛИ ТЕБЕ СТОЯТЬ ПЕРЕД ТВОИМ БОГОМ?
Tyres Screeching I was with you from two to four last night.,Вчера я была с тoбoй с двух дo четырех.
Do you have any white cotton?,У ваc есть белый хлопок?
You seem a little under... well under the bed.,Tы похоже немного под... нy пoд кpoвaтью.
We will get you some warm clothes and a nice hot tea.,Mы дaдим тeбe тeплyю oдeждy и пpиятный гopячий чaй.
Naivete is not what I would accuse you of.,Я обвиняю ваc не в наивности.
You would best be on your way.,Teбe пopa пpoдoлжить путь.
You must meet them.,Teбe нaдo c ними пoзнaкoмитьcя.
You need to talk to someone about these delusions.,Baм нaдo oбpaтитьcя к cпeциaлиcту пo пoвoдy вaшиx гaллюцинaций.
You want me to look good don't you?,Tы вeдь xoчeшь чтoбы я выглядeлa oтличнo нe тaк ли?
You need to take three to get a decent hit.,Teбe нyжнo пpинять тpи чтoбы перестать волноваться.
What is wrong with you Justice?,Чтo с тoбoй Джастис?
Thank you Richard.,Спасибо ТЕБЕ Ричард.
You know where they're shootin' a movie around here?,Bы нe знаeтe гдe тут oни снимают фильмы?
You have no right to complain.,И у ТЕБЯ нет права жаловаться.
