Eng,Rus
Listener,"['слушатель', 'приемник', 'слушателя', 'слухач', 'слушать', 'прослушиватель', 'слушательницы', 'слушателю', 'слушателем', 'приемника', 'приемники', 'слухача']"
Beeg,"['00 beeg', 'beeg']"
Rothschild,"['ротшильд', 'rothschild', 'ротшильда', 'ротшильдов', 'ротшильды']"
Spared,"['пощадил', 'избавлены', 'пожалел', 'убережены', 'приложены все', 'свободный', 'пощадили', 'избавлен', 'пощадила', 'избавил', 'пожалели', 'пощажены', 'избавлена', 'пожалела']"
Statuses,"['статусы', 'состояния', 'статусов', 'статус', 'статусами', 'состоянии', 'состояний', 'состояние']"
Struggled,"['боролся', 'пытался', 'борьбу', 'сопротивлялась', 'бился', 'боролись', 'боролась', 'борется', 'пыталась', 'пытались', 'борьба', 'борьбе', 'борьбы', 'пытаются', 'сопротивляться', 'сопротивлялся']"
Syndicate,"['синдикат', 'syndicate', 'синдикейт', 'синдикатное', 'синдицировать', 'синдиката', 'синдикатом', 'синдикате']"
Youngsters,"['молодежи', 'молодых людей', 'подростков', 'детей', 'малолеток', 'юношей', 'юнцов', 'молодежь', 'молодые люди', 'подростки', 'молодым людям', 'подростками', 'молодежью', 'дети', 'подросткам', 'детям', 'молодыми людьми', 'юноши']"
Antelope,"['антилопа', 'antelope', 'антилопы', 'антелопы', 'энтилоп', 'антилоп', 'антилопу', 'антелоп']"
Ayurvedic,"['аюрведический', 'аюрведы', 'аюрведические', 'аюрведической', 'аюрведических']"
Bioenergy,"['биоэнергетика', 'биоэнергия', 'биоэнергетики', 'биоэнергии', 'биоэнергетических', 'биотоплива', 'биоэнергию', 'биоэнергетике', 'биоэнергетику', 'биоэнергетическая', 'биоэнергетический', 'биоэнергетические']"
Commonplace,"['банальный', 'обычным явлением', 'обычным делом', 'привычным', 'обычной практикой', 'обыденным явлением', 'распространенным явлением', 'обыденностью', 'часто', 'будничным', 'повсеместным явлением', 'расхожая', 'распространенной практикой', 'широко']"
Depositors,"['вкладчиков', 'депонентов', 'depositors', 'депозиторов', 'вкладчики', 'вкладчикам', 'вкладчиками', 'депонентам', 'депозиторы', 'депоненты']"
Drug-trafficking,"['оборота наркотиков', 'незаконного оборота наркотиков', 'торговли наркотиками', 'наркобизнеса', 'оборот наркотических средств', 'контрабандой наркотиков', 'наркомафиозным', 'оборотом наркотиков', 'оборот наркотиков', 'незаконным оборотом наркотиков', 'торговля наркотиками', 'незаконный оборот наркотиков', 'торговлей наркотиками', 'торговле наркотиками', 'обороту наркотиков', 'оборотом наркотических средств', 'наркобизнесом', 'контрабанде наркотиков']"
Elixir,"['эликсир', 'elixir', 'элексир', 'эликсира', 'эликсиром']"
Emphasises,"['подчеркивает', 'особо отмечает', 'особое внимание уделяется', 'акцентирует внимание', 'обращает внимание', 'подчеркнул', 'подчеркивают', 'подчеркнет']"
Expatriates,"['экспатриантов', 'экспатов', 'иностранцев', 'эмигрантов', 'экспатриированных', 'иностранных граждан', 'экспатрианты', 'экспатриантами', 'экспатриантам', 'иностранцы', 'эмигранты', 'эмигрантами', 'иностранцами']"
Insoluble,"['неразрешимый', 'нерастворимые', 'не растворимая', 'не растворим', 'нерастворимых', 'неразрешимом', 'неразрешимой', 'нерастворим', 'нерастворимого', 'неразрешимое', 'не растворимой', 'не растворимое']"
Literate,"['грамотными', 'грамотности', 'грамотой', 'владели', 'грамотных', 'грамотные', 'грамотным', 'грамотностью', 'грамотность']"
Oblige,"['обязывать', 'обязывают', 'вынуждают', 'должны', 'обязать', 'обязывает', 'вынудить', 'вынуждает', 'вынуждены']"
Open-source,"['с открытым исходным кодом', 'открытое', 'open source', 'исходный', 'с открытыми исходными кодами', 'открытых', 'открытого', 'открытый', 'открытое программное обеспечение']"
Ounces,"['унций', 'унции', 'унциях', 'унциями']"
Pastel,"['пастель', 'пастельный', 'pastel', 'пастельные', 'пастельных', 'пастели', 'пастельной', 'пастелью']"
Practicality,"['практичность', 'практической', 'практицизм', 'практичности', 'практичностью', 'практическая']"
Provoking,"['провоцируя', 'вызвало', 'провоцирование', 'привело', 'провокации', 'провоцировать', 'провоцирования', 'провоцирует', 'вызывая', 'провоцирующих', 'вызвать', 'провоцировании', 'вызывает', 'провоцированием']"
Reinstated,"['восстановлен', 'возобновлена', 'восстановление', 'вновь', 'восстановлены в прежней должности', 'восстановлена', 'восстановлены', 'восстановил', 'возобновлено', 'возобновил', 'восстановления', 'возобновлен']"
Reproducing,"['воспроизводить', 'воспроизведения', 'воспроизводства', 'размножение', 'размножаться', 'репродуцирование', 'воспроизводимо', 'воспроизведение', 'воспроизводящего', 'воспроизвести', 'воспроизводящих', 'воспроизведении', 'воспроизведению', 'воспроизводство', 'размножения']"
Salvatore,"['сальваторе', 'salvatore', 'сальвоторе', 'салваторе']"
Sattar,"['саттар', 'саттара', 'саттару']"
Skillful,"['умелые', 'искусный', 'опытный', 'квалифицированные', 'искусно', 'умело', 'техничный', 'умелых', 'умелым', 'умелое', 'искусным', 'искусными', 'искусной', 'опытные', 'опытного', 'опытным', 'квалифицированными']"
Skinner,"['скиннер', 'скинер', 'skinner', 'скорняк', 'скиннера', 'скиннером', 'скиннеру', 'скорняка']"
Sokolov,"['соколов', 'соколовского', 'соколова', 'соколовым', 'соколову']"
Spoons,"['ложки', 'ложечки', 'блесны', 'фимиамники', 'лжицы', 'кадильниц', 'ложек', 'ложками', 'ложкой', 'ложечек']"
Tabernacle,"['скиния', 'шатер', 'дарохранительница', 'скинии', 'табернакальным', 'табернакля', 'кивоте', 'скинию', 'скиниею', 'шатре', 'шатра', 'шатром']"
Warwick,"['уорвик', 'уорик', 'warwick', 'уорикский', 'варвик', 'ворвик', 'уорвикский', 'уорика', 'уорвика', 'уорикском', 'уорике', 'уориком', 'уорикского', 'варвика', 'уорвику', 'варвике']"
Winstrol,"['винстрол', 'winstrol', 'винстрола', 'винстролом']"
Aram,"['арам', 'сирии', 'арама', 'арамом', 'араму']"
Attainable,"['достижимость', 'достижимыми', 'возможного уровня', 'достижимые', 'достижимой', 'достижимых', 'достижимости']"
Buckets,"['ведра', 'ковши', 'ведерки', 'ведер', 'ведрами', 'ведро', 'ковшей', 'ковшами', 'ковш', 'ведерка']"
Bulking,"['ссыпая', 'наполнители', 'сыпучий', 'сморщивани', 'ссыпающ', 'ссыпать', 'наполнителей', 'наполнитель', 'сыпучего', 'наполнителя']"
Compassionate,"['сострадательный', 'благожелательный', 'сострадания', 'милосердным', 'гуманных', 'сочувственного', 'сердобольный', 'сострадающих', 'семейным', 'жалостливая', 'милостивый', 'участливому', 'сочувствия', 'соображениям семейным обстоятельствам', 'сочувствующий']"
Cordless,"['аккумуляторный', 'cordless', 'беспроводные', 'автономного', 'беспроволочные', 'аккумуляторная', 'аккумуляторные', 'беспроводной', 'беспроводных', 'беспроводного', 'аккумуляторных', 'автономной']"
Diphtheria,"['дифтерия', 'дифтерит', 'дифтерии', 'дифтерийным', 'противодифтерийной', 'дифтерией', 'дифтерию', 'дифтерита', 'дифтерийный']"
Enclaves,"['анклавы', 'территории', 'анклавах', 'анклавов', 'анклавами']"
Federative,"['федеративной', 'федерации', 'федеральных', 'федеративная', 'федеративную', 'федеративного', 'ивной']"
Finno-ugric,"['финно-угорских', 'угро-финских', 'финно', 'финно-угорские', 'финно-угорской', 'финно-угорского']"
Headmaster,"['директор', 'классрук', 'главы школы', 'директора', 'директором', 'директору', 'завуч']"
Idaho,"['айдахо', 'idaho', 'aйдахо', 'ойдахо']"
Insurgency,"['восстание', 'повстанцев', 'повстанческое движение', 'мятежников', 'повстанческой деятельностью', 'беспорядков', 'повстанческие действия', 'повстанческой борьбы', 'подрывную деятельность', 'повстанческого движения', 'повстанцы', 'повстанцами', 'мятежники', 'мятежникам', 'мятежниками', 'повстанцам', 'восстания', 'повстанческой деятельности', 'беспорядки', 'повстанческих движений', 'повстанческим движением', 'повстанческую деятельность', 'восстанию', 'повстанческих действий']"
Jurassic,"['юрский', 'jurassic', 'юрского', 'юры', 'джурассик', 'юрских', 'юрском', 'юра', 'юре']"
Michele,"['микеле', 'мишель', 'michele', 'мишел', 'мишеля', 'мишела']"
Nudist,"['нудистский', 'нудист', 'нудисты', 'голыша', 'нудистские', 'нудистских', 'нудистском', 'нудистов', 'голышей', 'вуайеризм']"
Pretended,"['притворился', 'сделал вид', 'делал вид', 'прикинулся', 'претворился', 'представила', 'претендовавшими', 'симулировал', 'притворилась', 'притворялся', 'притворялась', 'сделали вид', 'делала вид', 'сделала вид', 'делали вид', 'сделав вид', 'делает вид']"
Segway,"['segway', 'сегвай', 'сегвей', 'сегвеем', 'сигвей', 'на сигвее', 'сигвеях', 'сегвеях', 'на сегвее']"
Tambov,"['тамбов', 'тамбовский', 'тамбовской', 'тамбове', 'тамбовская', 'тамбовского', 'тамбова', 'тамбовом']"
Transporter,"['транспортер', 'перевозчик', 'transporter', 'транспортатор', 'транспортный', 'переносчик', 'транспортник', 'транспортаторный', 'транспортерной', 'телепортационный', 'транспортировщик']"
Wholesaler,"['оптовик', 'оптовый', 'оптовика', 'оптовиков', 'оптового', 'оптовиком', 'оптовых', 'продавец', 'поставщик', 'гуртовня']"
Adore,"['обожать', 'adore', 'обожаю', 'люблю', 'восхищаюсь', 'преклоняюсь', 'поклоняются', 'боготворят', 'обожают', 'обожаем', 'любят', 'преклоняться', 'любить', 'поклоняться']"
Alvaro,"['альваро', 'алваро', 'алвару', 'альвару']"
Andrzej,"['анджей', 'andrzej', 'андрея', 'анджея', 'анджеем', 'анджею', 'андрей']"
Bombed,"['бомбили', 'бомбардировке', 'взорвал', 'бомбы', 'бомбардировали', 'бомбежке', 'бомбил', 'бомбардировкам', 'бомбила', 'взорвали', 'бомбить', 'взорваны', 'бомбардировки', 'бомбами', 'взрывала', 'бомбардировок', 'бомбу']"
Bryansk,"['брянский', 'брянской', 'бердичеве', 'брянская', 'брянского', 'области']"
Clumsy,"['неуклюжий', 'растяпа', 'топорный', 'неловкая', 'грубой', 'неповоротливым', 'корявый', 'неуклюже', 'косолапого', 'недотепа', 'невоспитанный', 'неумелое', 'нескладны', 'безрукая', 'несуразные']"
Counterterrorism,"['контртеррористического', 'борьбе с терроризмом', 'антитеррористического', 'противодействию терроризму', 'контртерроризма', 'по борьбе с террором', 'контртеррористических', 'борьбы с терроризмом', 'контртеррористическим', 'контртеррористической', 'антитеррористических', 'борьбу с терроризмом', 'антитеррористические', 'борьба с терроризмом', 'противодействия терроризму', 'антитеррористическое', 'контртерроризм']"
Crimson,"['малиновый', 'crimson', 'багровый', 'кримсон', 'алого', 'красного', 'the crimson', 'багряный', 'пурпур', 'кармазиново', 'багрянец', 'бардовых', 'багряница']"
Detain,"['задерживать', 'задержание', 'задержания', 'под стражу', 'содержания', 'задержать', 'задерживают', 'задержанию', 'задерживает', 'задержании', 'под стражей']"
Dubbed,"['назвал', 'получивший название', 'дублирован', 'прозвали', 'окрестили', 'получившего прозвище', 'назвали', 'назван', 'называли', 'получившая название', 'дублированные', 'прозванный', 'получившей название', 'дублированы', 'дублированный', 'получившее название', 'окрестил', 'прозванные']"
Ester,"['эстер', 'эфир', 'эфирной', 'эфира', 'эстером', 'эфиров', 'эфиром', 'эфирных', 'эфирными', 'эфирное']"
Fairmont,"['fairmont', 'отель fairmont', 'фермонте', 'фэрмонт', 'в fairmont', 'fairmont the', 'отеля fairmont', 'отеле fairmont', 'фермонт', 'отелю fairmont']"
Follow-on,"['последующей', 'дальнейшего', 'преемницы', 'последующих', 'последующие', 'последующего', 'дальнейших', 'дальнейшее']"
Healer,"['целитель', 'целительница', 'лекарь', 'знахарь', 'врачевателем', 'целителя', 'целителем', 'целительницы', 'целителю', 'целительницей', 'целительнице', 'лекарем']"
Heals,"['исцеляет', 'лечит', 'заживает', 'излечивает', 'заживляет', 'оздоравливает', 'залечивает', 'восполняющий', 'исцеление', 'заживление', 'оздоровляет', 'вылечит', 'врачующая']"
Incur,"['нести', 'возникнуть', 'в связи', 'расходы', 'несут', 'несет', 'возникать']"
Kemal,"['кемаль', 'кемаля', 'кемалем', 'кемалю']"
Liturgy,"['литургия', 'богослужение', 'литургии', 'службу', 'литургию', 'литургией', 'богослужения', 'богослужением', 'богослужении']"
Malfunctions,"['неисправности', 'сбои', 'неполадки', 'нарушения работы', 'неисправен', 'неисправной работы', 'поломок', 'неисправностей', 'сбоев', 'неполадок', 'неисправность', 'неисправностям', 'неполадками', 'сбоях', 'сбоям']"
Matthias,"['маттиас', 'матиас', 'матфий', 'matthias', 'матьяш', 'матьяша', 'матафию', 'матиаша', 'маттиаса', 'матиаса', 'маттиасом', 'матфия', 'матиасом', 'маттиасу', 'матиасу', 'матафия']"
Muñoz,"['муньос', 'муньоса', 'муньосу', 'муньосом', 'мунос']"
Next-generation,"['следующего поколения', 'нового поколения', 'следующее поколение', 'следующем поколении', 'новое поколение']"
Olympia,"['олимпия', 'olympia', 'олимпии', 'олимпию', 'олимпией']"
Openended,['открытого состава']
Poly,"['poly', 'поли', 'полиграф']"
Recycle,"['перерабатывать', 'recycle', 'утилизировать', 'рециркулировать', 'рециркуляции', 'переработки', 'утилизации', 'рецикл', 'повторно', 'ресайкл', 'рециркуляционный']"
Roasting,"['обжарки', 'обжаривания', 'обжига', 'обжиговую', 'обжарочных', 'запекания', 'жарить', 'жарка', 'прокаливания', 'жарения', 'поджаривать', 'поджаривания', 'обжаривать']"
Smelled,"['пахло', 'запах', 'учуял', 'воняло', 'понюхал', 'унюхал', 'почуял', 'чувствовал', 'аромат', 'обонял']"
Subcutaneous,"['субкутанеоус', 'подкожный', 'подкожно', 'подкожной', 'подкожные', 'подкожных']"
Sverdlovsk,"['свердловский', 'свердловской', 'свердловская', 'свердловского']"
Williamson,"['уильямсон', 'вильямсон', 'williamson', 'уилльямсон', 'уильямсона', 'уильямсоном', 'уильямсону', 'вильямсона', 'вильямсону', 'виллиамсон']"
Astra,"['astra', 'астра', 'модель astra', 'астру', 'астрой', 'астре']"
Bahia,"['баия', 'bahia', 'байя', 'бахиа', 'бахия', 'байской', 'баийской', 'баиянской', 'баие', 'бахии']"
Cameraman,"['оператор', 'кинооператор', 'телеоператор', 'видеооператор', 'оператора', 'оператором', 'оператору', 'кинооператора', 'телеоператора', 'кинооператором']"
Crate,"['ящик', 'обрешетка', 'контейнер', 'crate', 'клетку', 'клети', 'крейт', 'драндулет', 'колымага', 'ящике', 'ящика', 'ящиком', 'обрешеткой', 'контейнере', 'обрешетку', 'клеть']"
Delinquency,"['преступность', 'делинквентность', 'преступности', 'правонарушений', 'делинквентности', 'правонарушения', 'преступностью', 'правонарушениями', 'правонарушениям']"
Dragging,"['перетаскивания', 'перетащив', 'таща', 'втягивать', 'волоча', 'тянуть', 'таскать', 'вытаскивать', 'перетягивании', 'притащить', 'перетягивая', 'волочение', 'затаскиваю', 'затягивая', 'втягивания', 'протащив']"
Equestrian,"['конный', 'конноспортивный', 'equestrian', 'конного', 'наездник', 'верховой езды', 'конкуру', 'конные', 'конных', 'конноспортивные', 'конноспортивного', 'конноспортивном']"
Expire,"['истекать', 'истекает', 'заканчивается', 'истекает срок действия', 'истечения срока', 'истекает срок полномочий', 'истекают', 'истечет', 'закончится', 'заканчивался']"
Germ,"['микроб', 'зародышей', 'ростков', 'зародышевых', 'бактерий', 'пророщенная', 'джерм', 'микроорганизмов', 'герм', 'зачатке']"
Interahamwe,"['интерахамве', 'интерхамве']"
Invertebrates,"['беспозвоночных', 'для беспозвоночных', 'беспозвоночные', 'беспозвоночными', 'беспозвоночным', 'животными']"
Irreversibility,"['необратимость', 'необратимый характер', 'необратимости', 'необратимостью', 'необратимого характера']"
Issyk-kul,"['иссык-куль', 'иссык-кульской', 'озера', 'иссыккуль', 'иссыккульскую', 'иссык-куле', 'иссык-кульская', 'иссык-куля', 'иссык-кульского', 'иссык куль', 'иссык-кульский']"
Izvestia,"['газета', 'известия', 'известий', 'известиям', 'известиях']"
Jacks,"['гнезда', 'домкраты', 'разъемы', 'валеты', 'jacks', 'джекс', 'джеков', 'вальта', 'джэкс', 'гнездам', 'валетов', 'домкратов', 'валета', 'разъемов', 'разъемам', 'разъема', 'джек', 'гнезд', 'гнездами', 'джека', 'джексу', 'домкратами', 'домкрат', 'вальты']"
Lemonade,"['лимонад', 'лимонадный', 'lemonade', 'лемонадик', 'лимонада', 'лимонадом', 'лимонады']"
Lina,"['лина', 'lina', 'ћина', 'лины', 'лину', 'лине']"
Lynette,"['линетт', 'линнет', 'lynette', 'ћинетт', 'лайнетт']"
Macintosh,"['macintosh', 'макинтош', 'для macintosh', 'компьютеру macintosh', 'apple macintosh', 'макинтоша']"
Motorbike,"['мотоцикл', 'мотоциклетных', 'мотике', 'мотобайке', 'мотовелосипеда', 'мопед', 'мотороллер', 'мотоцикле', 'мотоциклов', 'мотоцикла', 'мотоциклетные']"
Resonant,"['резонансный', 'резонантный', 'резонансных', 'резонирующие', 'резонанса', 'звучные', 'резонансные', 'резонансной', 'резонанс']"
Seaweed,"['водоросль', 'водоросли', 'морские водоросли', 'водорослевые', 'морской капусты', 'водорослей', 'морских водорослей', 'водорослями', 'морская водоросль', 'морскими водорослями', 'морская капуста']"
Telemetry,"['телеметрия', 'телеметрийный', 'телеметрии', 'телеметрические', 'telemetry', 'телемеханики', 'телеизмерений', 'телеметрию', 'телеметрической', 'телеметрических', 'телеметрического', 'телеметрийные', 'телеметрией']"
Wrestler,"['борец', 'рестлер', 'боец', 'реслер', 'борец вольного стиля', 'борец греко-римского стиля', 'вольник', 'борца', 'борцом', 'борцу', 'рестлером', 'рестлера', 'бойца', 'бойцом', 'реслером']"
Cherish,"['лелеять', 'ценить', 'беречь', 'заботиться', 'cherish', 'хранить', 'дорожить', 'дорожим', 'бережно хранят', 'чериш', 'ценим', 'лелеете', 'лелею', 'берегут', 'лелеем', 'дорожу', 'дорожат', 'ценят', 'хранят', 'ценит']"
Classmates,"['одноклассников', 'однокурсниками', 'одноклассниц', 'одногруппниками', 'сокурсниками', 'классом', 'соучеником', 'однокласниках', 'однокашники', 'одноклассники', 'одноклассниками', 'одноклассникам', 'однокурсники', 'однокурсников', 'одногруппников', 'одногруппники', 'одноклассницы', 'сокурсники', 'сокурсников']"
Compress,"['компресс', 'сжимать', 'сжатие', 'compress', 'сжатия', 'компрессной', 'обжатие', 'сдавливать', 'обжать', 'компресса', 'сжать', 'сжимают', 'сжимайте', 'компрессом', 'компрессы', 'компрессную', 'сдавливают']"
Darya,"['дарья', 'дарьи', 'дарье', 'дарью']"
Depositions,"['осаждения', 'показания', 'отложения', 'выпадения', 'осаждений', 'осаждениях', 'осаждении', 'показаниях', 'показаний', 'отложение', 'отложений', 'показаниями', 'отложениях']"
Exposes,"['подвергает', 'раскрывает', 'разоблачает', 'выставляет', 'обнажает', 'обличает', 'вскрывает', 'подвержены воздействию', 'подвергают', 'раскрывающий', 'раскроет', 'раскрывают', 'разоблачит']"
Froze,"['заморозил', 'замер', 'замерз', 'застыл', 'завис', 'оцепенела', 'заблокировало', 'замораживание', 'заморозили', 'заморозила', 'замерла', 'заморозило', 'застыла', 'замерли', 'замерзла', 'замерзли', 'застыли', 'замерло', 'замерзло']"
Funk,"['фанк', 'funk', 'фанка', 'the funk', 'функ', 'фанковую', 'of funk', 'фанке', 'фанком', 'функа']"
Hive,"['улей', 'hive', 'куст', 'рой', 'улья', 'улье', 'ульи', 'роя', 'куста']"
Interamerican,"['межамериканский', 'межамериканской', 'межамериканского', 'межамериканская', 'интерамерикэн']"
Marley,"['marley', 'марли', 'компании marley', 'марлей']"
Mercer,"['мерсер', 'mercer', 'мерцера', 'мэрсэр', 'меркер', 'мерсера', 'мерсером', 'мерсеру', 'мерцер']"
Mihai,"['михай', 'mihai', 'михая', 'михаем', 'михаю']"
Samawah,"['эссамавы', 'населенных пунктов эссамава', 'эс', 'населенных пунктов самава', 'эссамава', 'над самавой']"
Semantics,"['семантика', 'семантических', 'семантики', 'семантику', 'семантике']"
Stochastic,"['стохастический', 'stochastic', 'стохастик', 'стохастических', 'случайных', 'вероятностный', 'стохастического', 'стохастические', 'случайный', 'случайными', 'случайные']"
Tread,"['действовать', 'идти', 'след', 'топтать', 'протектора', 'ступай', 'протекторного', 'попирать', 'проступью', 'растопчет', 'ступеней', 'поступь']"
Unleaded,"['неэтилированный', 'неэтилированного', 'неэтилированным', 'неэтилированном']"
Ust-kamenogorsk,"['усть-каменогорск', 'усть-каменогорске', 'усть-каменогорска', 'усть-каменогорском', 'г']"
Vacated,"['освобождены', 'заменить', 'оставленных', 'покинутых', 'отменил', 'вакантным', 'освобожденных', 'освобождаемых', 'освободил', 'покинули', 'оставленные', 'отменила', 'отменены', 'покинул', 'покидаемых', 'отменен', 'оставленный', 'оставлены', 'вакантных']"
Wei,"['вэй', 'wei', 'вэя', 'вей', 'вэйские', 'веем', 'вэем', 'веи', 'вэйхэ', 'вэйский']"
Acronym,"['акроним', 'аббревиатура', 'сокращение', 'сокращенно', 'сокращенным названием', 'акронимом', 'аббревиатурой', 'аббревиатуру', 'аббревиатуре', 'акронима', 'сокращением', 'акрониму', 'сокращения']"
Bastion,"['бастион', 'bastion', 'оплотом', 'бастионная', 'бастея', 'бастиона', 'бастионом', 'бастионе', 'оплот', 'бастионного', 'бастионной']"
Broccoli,"['брокколи', 'броколли']"
Cardassian,"['кардассианский', 'кардассианец', 'кардассии', 'кардасианская', 'кардассианской', 'кардассианского', 'кардассианские', 'кардассианцев', 'кардассианца', 'кардассианцы']"
Clasp,"['застежка', 'пряжкой', 'бюгельные', 'замке', 'застежкой', 'застежки', 'застежку', 'замочек', 'обхватить']"
Concord,"['конкорд', 'concord', 'согласие', 'согласия', 'конкорде', 'согласии', 'согласию', 'конкорда', 'конкорду', 'созвучие']"
Crashing,"['сбоев', 'грохот', 'врезаться', 'разбивающихся', 'столкновения', 'аварии', 'крушение', 'рухнул', 'аварийным', 'треск']"
Fatherland,"['отечество', 'родина', 'отечества', 'родину', 'отечественного', 'отчизне', 'батькивщина', 'отечеству', 'родине', 'родины', 'отечеством', 'отечественный', 'отчизна', 'отечественная', 'отчизны', 'отчизну']"
Guadalcanal,"['гуадалканал', 'гуадалканальской', 'гуадаканал', 'острова', 'гуадалканале', 'гуадалканала', 'гуадалканалу', 'гуадалканальская', 'гуадаканале', 'гуадалкнала']"
Hoffmann,"['хоффман', 'хофман', 'hoffmann', 'гофман', 'гоффман', 'гоффману', 'гофмана', 'хоффмана', 'гоффмана', 'хоффману', 'хоффманом', 'гоффманом', 'гофманом']"
Ids,"['идентификаторы', 'ID', 'удостоверения личности', 'удостоверения', 'документы', 'коды', 'опознания', 'идентификационные номера', 'ИД', 'идентификаторов', 'удостоверений личности', 'идентификаторами', 'удостоверений', 'документов', 'удостоверение личности', 'идентификатор', 'документами', 'кодами']"
Informant,"['информатор', 'осведомитель', 'осведомителя', 'информанта', 'источник', 'с источниками информации', 'доносчик', 'информация', 'информатора', 'информатором', 'осведомителем', 'информаторов', 'информантов', 'с источником информации']"
Mandate-holders,"['мандатарии', 'обладатели мандатов', 'держателями мандатов', 'мандатариев', 'мандатариями', 'обладателями мандатов', 'мандатариям', 'обладателей мандатов', 'обладателей мандата', 'держателей мандатов', 'держатели мандатов']"
Mangrove,"['мангровых', 'мангры', 'мангровые', 'мангровыми', 'мангровым']"
Martín,"['мартин', 'martín', 'мартина', 'мартином', 'марти́н']"
Organiser,"['организатор', 'органайзер', 'организатором', 'организатора', 'организаторы']"
Outrage,"['возмущение', 'негодование', 'беспредел', 'возмутительно', 'безобразие', 'оскорблением', 'возмущен', 'бесчинства', 'неслыханно', 'возмущенное']"
Pak,"['пак', 'pak', 'паке', 'паком', 'пака']"
Polyus,"['полюс', 'polyus', 'компания', 'polyus gold', 'полюса', 'компании', 'полюсом']"
Potion,"['зелье', 'эликсир', 'снадобье', 'potion', 'микстуру', 'зелья', 'зельем', 'микстура', 'микстуры', 'зелий']"
Regenerating,"['регенерирующее', 'регенерации', 'восстанавливающий', 'восстановления', 'омолаживающее', 'регенирирующая', 'регенерирующий', 'регенерирующим', 'регенерирующие', 'восстанавливающее', 'восстановление', 'регенерацией', 'восстанавливающие', 'восстановлении', 'регенерация', 'восстанавливающим']"
Repealing,"['отмены', 'отменить', 'отмене', 'отменив', 'отмену', 'отменяющий', 'отмена', 'отменяющее']"
Salah,"['салах', 'саллах', 'сала', 'салы']"
Sinti,['синти']
Surpassing,"['превзойти', 'превысив', 'обогнав', 'потеснив', 'перегоняя', 'превосхождение', 'превышает', 'превосходя', 'превзойдя', 'превысило', 'превосходящий', 'превысил']"
Undead,"['нежить', 'undead', 'мертвец', 'зомби', 'нежити', 'немертвых', 'бессмертных', 'неживые', 'неупокоенными', 'нечистью', 'нежитью', 'немертвые', 'немертвой', 'немертвого', 'неживых', 'бессмертный', 'мертвецов']"
Bounds,"['границ', 'пределы', 'рамки', 'ограничивает', 'bounds', 'баундс', 'границы', 'границах', 'границами', 'пределах', 'пределов', 'рамок', 'предела']"
Champ,"['чемпион', 'champ', 'чэмп', 'чемп', 'сэнпай', 'чамп', 'шампа', 'чемпионом', 'чемпиона', 'чемпиону', 'чэмпом']"
